Melhores Parâmetros: {'temperatura_inicial': 871.1780779963024, 'taxa_resfriamento': 0.9989724252823922}
Menor número de conflitos encontrado: 0.03333333333333333

Teste Kruskal-Wallis
Estatística: 267.5761027564836
Valor-p: 7.08149382862801e-32
Diferença estatisticamente significativa entre as configurações.

Resultados de Conflitos por Configuração com Intervalo de Confiança:
 Temperatura  Resfriamento  Media Conflitos  Desvio Padrao                     Intervalo de Confiança                      Conflitos
  871.178078      0.998972              0.2       0.421637 (-0.10162095504721325, 0.5016209550472133) [1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
  834.762002      0.989259              0.8       0.788811  (0.23571886277089182, 1.3642811372291082) [2, 2, 0, 0, 1, 0, 1, 1, 0, 1]
  510.231103      0.992898              1.2       0.421637   (0.8983790449527866, 1.5016209550472133) [2, 1, 1, 1, 2, 1, 1, 1, 1, 1]
  981.779521      0.995746              0.6       0.516398   (0.2305912822016925, 0.9694087177983075) [0, 1, 0, 0, 1, 1, 1, 0, 1, 1]
 1493.967747      0.951450              1.8       0.918937   (1.1426323688474866, 2.4573676311525134) [2, 1, 2, 0, 3, 2, 2, 3, 2, 1]
 4507.139711      0.977616              1.4       0.699206   (0.8998182315998704, 1.9001817684001294) [1, 2, 2, 1, 1, 1, 2, 0, 2, 2]
 1198.506114      0.998694              0.3       0.483046 (-0.04555021442218188, 0.6455502144221819) [0, 0, 0, 1, 0, 1, 0, 0, 0, 1]
  733.405691      0.995468              0.4       0.516398  (0.03059128220169255, 0.7694087177983076) [1, 1, 0, 0, 0, 1, 0, 1, 0, 0]
 1076.705463      0.998786              0.0       0.000000                                 (0.0, 0.0) [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 1283.700059      0.992242              0.9       0.316228   (0.6737842837145901, 1.1262157162854098) [1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
  778.776685      0.972166              1.4       0.843274   (0.7967580899055734, 2.0032419100944265) [2, 1, 2, 0, 1, 2, 2, 0, 2, 2]
 1473.530169      0.963205              1.7       0.674949   (1.2171708880548862, 2.1828291119451135) [1, 2, 2, 2, 1, 3, 1, 2, 2, 1]
 1178.164326      0.996418              0.1       0.316228  (-0.1262157162854099, 0.3262157162854099) [0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
  965.262399      0.988932              1.1       0.737865     (0.572163328667377, 1.627836671332623) [1, 2, 0, 1, 1, 2, 0, 1, 2, 1]
 2149.916420      0.993285              0.8       0.632456    (0.34756856742918024, 1.25243143257082) [1, 1, 1, 2, 0, 1, 0, 1, 1, 0]
